slug site,nom FR site,fichier Drive,statut,perimetre,remarque
massive-foulard-rouge,Foulard rouge,Sticker Arabe.png,nom different,sync juillet,"site attend ""Sticker Foulard rouge"", Drive a ""Sticker Arabe.png"" [lien retrouve par comparaison d image]"
massive-fox,Renard mystique,Sticker Fox.png,match exact,mapping 270,
massive-frank,Monstre vert,Sticker Frank.psd,match exact,mapping 270,"PSD seulement, pas de PNG final"
massive-frankein,Frankie jaune,Sticker Frankein.png,nom different,sync juillet,"site attend ""Sticker Frankie jaune"", Drive a ""Sticker Frankein.png"""
massive-freaking-sunshine,Soleil déchaîné,Sticker Freaking Sunshine.png,nom different,sync juillet,"site attend ""Sticker Soleil déchaîné"", Drive a ""Sticker Freaking Sunshine.png"""
massive-freaky,Têtes fondues,Sticker Freaky.png,nom different,sync juillet,"site attend ""Sticker Têtes fondues"", Drive a ""Sticker Freaky.png"""
massive-frog-tired,Roi crapaud,Sticker Frog tired.png,match exact,mapping 270,
massive-fuckyou,Paye-moi,Sticker Fuckyou.png,match exact,mapping 270,
massive-fx,Crâne casquette,Sticker Fx.png,nom different,sync juillet,"site attend ""Sticker Crâne casquette"", Drive a ""Sticker Fx.png"""
massive-gamer,Gamer mou,Sticker gamer.png,match exact,mapping 270,
massive-geisha-rapsody,Rhapsodie,Sticker Geisha rapsody.png,match exact,mapping 270,
massive-geisha1,Prêtresse mauve,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Geisha1.png"" introuvable au Drive"
massive-geisha2,Prêtresse azur,Sticker Geisha2.png,match exact,mapping 270,
massive-giganticeyes,Cyclope chic,Sticker Giganticeyes.png,match exact,mapping 270,
massive-good-vibes,Good Vibes,Sticker Good Vibes.png,match exact,sync juillet,
massive-goth-1,Yeux bandés,Sticker Goth1.png,nom different,sync juillet,"site attend ""Sticker Yeux bandés"", Drive a ""Sticker Goth1.png"""
massive-goth-10,Vampire rouge,Sticker Goth10.png,nom different,sync juillet,"site attend ""Sticker Vampire rouge"", Drive a ""Sticker Goth10.png"""
massive-goth-11,Œil tentaculaire,Sticker Goth11.png,nom different,sync juillet,"site attend ""Sticker Œil tentaculaire"", Drive a ""Sticker Goth11.png"""
massive-goth-12,Roses et cendres,Sticker Goth12.png,nom different,sync juillet,"site attend ""Sticker Roses et cendres"", Drive a ""Sticker Goth12.png"""
massive-goth-15,Dame chauve-souris,Sticker Goth 15.png,nom different,sync juillet,"site attend ""Sticker Dame chauve-souris"", Drive a ""Sticker Goth 15.png"""
massive-goth-16,Ange décharné,Sticker Goth16.png,nom different,sync juillet,"site attend ""Sticker Ange décharné"", Drive a ""Sticker Goth16.png"""
massive-goth-18,Sorcière lunaire,Sticker Goth18.png,nom different,sync juillet,"site attend ""Sticker Sorcière lunaire"", Drive a ""Sticker Goth18.png"""
massive-goth-19,Crâne hurlant,Sticker Goth19.png,nom different,sync juillet,"site attend ""Sticker Crâne hurlant"", Drive a ""Sticker Goth19.png"""
massive-goth-2,Sucette rouge,Sticker Goth2.png,nom different,sync juillet,"site attend ""Sticker Sucette rouge"", Drive a ""Sticker Goth2.png"""
massive-goth-20,Damier noir,Sticker Goth20.png,nom different,sync juillet,"site attend ""Sticker Damier noir"", Drive a ""Sticker Goth20.png"""
massive-goth-21,Crâne cornu,Sticker Goth21.png,nom different,sync juillet,"site attend ""Sticker Crâne cornu"", Drive a ""Sticker Goth21.png"""
massive-goth-22,Éclair blanc,Sticker Goth22.png,nom different,sync juillet,"site attend ""Sticker Éclair blanc"", Drive a ""Sticker Goth22.png"""
massive-goth-23,Couronne funèbre,Sticker Goth23.png,nom different,sync juillet,"site attend ""Sticker Couronne funèbre"", Drive a ""Sticker Goth23.png"""
massive-goth-24,Écailles sombres,Sticker Goth24.png,nom different,sync juillet,"site attend ""Sticker Écailles sombres"", Drive a ""Sticker Goth24.png"""
massive-goth-3,Capuche marquée,Sticker Goth3.png,nom different,sync juillet,"site attend ""Sticker Capuche marquée"", Drive a ""Sticker Goth3.png"""
massive-goth-4,Bois de cerf,Sticker Goth4.png,nom different,sync juillet,"site attend ""Sticker Bois de cerf"", Drive a ""Sticker Goth4.png"""
massive-goth-5,Sourire cornu,Sticker Goth5.png,nom different,sync juillet,"site attend ""Sticker Sourire cornu"", Drive a ""Sticker Goth5.png"""
massive-goth-7,Poupée aux phalènes,Sticker Goth7.png,nom different,sync juillet,"site attend ""Sticker Poupée aux phalènes"", Drive a ""Sticker Goth7.png"""
massive-goth-8,Troisième œil cornu,Sticker Goth8.png,nom different,sync juillet,"site attend ""Sticker Troisième œil cornu"", Drive a ""Sticker Goth8.png"""
massive-goth-9,Visage de fumée,Sticker Goth9.png,nom different,sync juillet,"site attend ""Sticker Visage de fumée"", Drive a ""Sticker Goth9.png"""
massive-graffeur-en-herbe,Vieux tagueur,Sticker Graffeur en herbe.png,match exact,mapping 270,
massive-green-skull,Crâne cyber,Sticker green Skull.png,nom different,sync juillet,"site attend ""Sticker Crâne cyber"", Drive a ""Sticker green Skull.png"""
massive-grenouille,Grenouille mage,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Grenouille.png"" introuvable au Drive"
massive-grenouille-mouche,Grenouille affamée,Sticker Grenouille mouche.png,match exact,mapping 270,
massive-grenouille-reel,Rainette bleue,Sticker Grenouille reel.png,match exact,mapping 270,
massive-grizly,Grizzly fou,ABSENT,orphelin site sans source,mapping 270,"attendu ""Sticker Grizly.png"" introuvable au Drive"
massive-grosse-vache,Veau des Highlands,Sticker Grosse vache,match exact,mapping 270,
